"Record_@setEntry","Record_Access-Restrictions","Record_Access-Restrictions_0","Record_Access-Restrictions_1","Record_AccessionNumber","Record_AccessionNumber_0","Record_AccessionNumber_1","Record_Archives-Location","Record_Archives-Location_0","Record_Archives-Location_1","Record_Archives-Location_2","Record_Archives-Location_3","Record_Date-Received","Record_Date-Received_0","Record_Date-Received_1","Record_Description","Record_Description_0","Record_Description_1","Record_Description_10","Record_Description_11","Record_Description_12","Record_Description_13","Record_Description_14","Record_Description_15","Record_Description_16","Record_Description_17","Record_Description_18","Record_Description_19","Record_Description_2","Record_Description_20","Record_Description_21","Record_Description_22","Record_Description_23","Record_Description_24","Record_Description_25","Record_Description_26","Record_Description_27","Record_Description_28","Record_Description_29","Record_Description_3","Record_Description_30","Record_Description_31","Record_Description_32","Record_Description_33","Record_Description_34","Record_Description_35","Record_Description_36","Record_Description_37","Record_Description_38","Record_Description_39","Record_Description_4","Record_Description_40","Record_Description_41","Record_Description_42","Record_Description_43","Record_Description_44","Record_Description_45","Record_Description_46","Record_Description_47","Record_Description_48","Record_Description_49","Record_Description_5","Record_Description_50","Record_Description_51","Record_Description_52","Record_Description_53","Record_Description_54","Record_Description_55","Record_Description_56","Record_Description_57","Record_Description_58","Record_Description_59","Record_Description_6","Record_Description_60","Record_Description_61","Record_Description_62","Record_Description_7","Record_Description_8","Record_Description_9","Record_Donor-Office","Record_Donor-Office_0","Record_Donor-Office_1","Record_Donor-Office_2","Record_Donor-Office_3","Record_Extent","Record_Extent_0","Record_Extent_1","Record_Inclusive-Date","Record_Inclusive-Date_0","Record_Inclusive-Date_1","Record_Inclusive-Date_2","Record_Notes","Record_Notes_0","Record_Notes_1","Record_Notes_2","Record_Notes_3","Record_Title","Record_Title_0","Record_Title_1","Record_Title_2","Record_Title_3"
"2164","None","","","1992-53","","","Theses","","","","","May 1992","","","","Level of presented self-esteem of young children, by Virginia O'Connell","Developing a Post-Secondary program in information management, by S. Blair","","","","","","","","","","","Sex-Role Orientation and coping strategies by K.M. Graves Calquhaun","","","","","","","","","","","Parents:  Towards Understanding of Whole Language by C.A. Whitaker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Education Department","","","","","None","","","1992","","","","None","","","","","None","","","",""
"2165","None","","","1992-54","","","EA Theses","","","","","June 16, 1992","","","","Why do they skip breakfast, by Christina Davis-Nsaliwa, 1992 MA MSVU","Food and Nutrition Curriculum Development in Zimbabwe, by Anna Ellen Mudukuti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Home Economics","","","","","None","","","1992","","","","None","","","","","None","","","",""
"2166","None","","","1992-55","","","EA-EC writing section","","","","","June 1992","","","Pregnancy Among Secondary School students in Molawi...by Emma C. Kishindo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Human Ecology","","","","","None","","","May 1991","","","","None","","","","","None","","","",""
"2167","None","","","1992-56","","","IB 21","","","","","July 1992","","","","Faxon/Ebsco back claims 1990-1991","Correspondence 1988-1989","","","","","","","","","","","Invoices 1990-1991","","","","","","","","","","","1987-1988 Faxon/Ebsco invoices","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Library","","","","","None","","","1990-1991","","","","None","","","","","None","","","",""
"2168","None","","","1992-57","","","GA 32 - removed for culling by President's Office in 2000","","","","","June 1992","","","Honorary degrees received by Sister Catherine Wallace","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","President's Office","","","","","None","","","None","","","","None","","","","","None","","","",""
"2169","None","","","1992-58","","","GA 23 - removed for culling by President's Office 2000","","","","","August 1992","","","Papers, articles, speeches, etc, 1987-1989","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","President's Office","","","","","None","","","1987-1989","","","","None","","","","","None","","","",""
"2170","None","","","1992-59","","","box in publications","","","","","May 1992","","","","Research bulletin # 53 April 13, 1992","Research Inventory 1989-1991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Registrar","","","","","None","","","April 15, 1992","","","","None","","","","","None","","","",""
"2171","None","","","1992-60","","","Box 21 (was BA-10),  folder #25","","","","","May 1992","","","Dean's List for June 1976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dean's Office","","","","","None","","","Jnue 1976","","","","None","","","","","None","","","",""
"2172","YES!  Only professor can designate an exam for a student to look at, which will be accessed at the Circ desk.","","","1992-62","","","Unit C, Bay 1, Shelf 6","","","","","August 1992","","","Box 1 - Exams, April 1991
Box 2 - Exams, December 1991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Registrar","","","","","2 boxes","","","1991","","","","CA 40","","","","","Office of the Vice-President (Academic)","","","",""
"2173","YES!  Only professor can designate an exam for a student to look at, which will be accessed at the Circ desk.","","","1992-63","","","Unit A, Bay 5, Shelf 1","","","","","August 1992","","","Exams, December 1984","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Registrar","","","","","None","","","1984","","","","None","","","","","None","","","",""
"2174","None","","","1992-64","","","Unit D, Bay 2, Shelves 4-6","","","","","June 1992","","","Folders containing information from the School of Nursing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","President's Office, Ann Cherry","","","","","7 boxes","","","1965-1975","","","","CB 20 to CB 26","","","","","Nursing","","","",""
"2175","None","","","1992-65","","","Publications","","","","","May 1992","","","Folia Montana Alumnae Magazine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Alumnae Office","","","","","None","","","1991","","","","None","","","","","None","","","",""
"2176","None","","","1992-66","","","Unit C, Bay 5, Shelf 4","","","","","June and August 1992","","","","Staff Reflections, newsletter","Pay Equity at MSVU, Issue #3, April 6, 1992","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Staff Association","","","","","1 volume","","","1992","","","","CC 31","","","","","Staff Association","","","",""
"2177","None","","","1992-67","","","Unit D, Bay 1, Shelf 5","","","","","August 1992","","","Material on 1992 Convocation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Public Affairs Office","","","","","1 file folder","","","May 1992","","","","FA 23 - returned to Student Affairs in 2000 (do not know if all material was returned)","","","","","Convocation","","","",""
"2178","None","","","1992-68","","","FA 49 - returned to Student Affairs in 2000","","","","","August 1992","","","List of student union Executive for 1992","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1992","","","","None","","","","","None","","","",""
"2179","None","","","1992-69","","","FC 24","","","","","June 1992","","","Campus Connection June 1992","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Public Affairs Office","","","","","None","","","June 1992","","","","None","","","","","None","","","",""
"2180","None","","","1992-70","","","FC 25","","","","","August 1992","","","News and Views","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Curriculum","","","","","None","","","March 1992","","","","None","","","","","None","","","",""
"2181","None","","","1992-71","","","None","","","","","August 1992","","","Library newsletter, March and April issues","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Library","","","","","None","","","April 1992","","","","None","","","","","None","","","",""
"2182","None","","","2003-115","","","Theses","","","","","July 2003","","","Thesis by Mary Jollimore:  ""Yes, but how many Tattoos does she have?"":  A Review of the Portrayal of Olympic Sportswomen in Sports Illustrated Magazine, 1980-2002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","September 2002","","","","None","","","","","None","","","",""
"2183","None","","","2003-116","","","Box 104","","","","","July 2003","","","Mount Saint Vincent University Senate By-Laws and Rules of Order, revised May 1995, and August 2002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Library","","","","","None","","","May 1995 and August 2002","","","","None","","","","","None","","","",""
"2184","None","","","1992-72","","","FC 26","","","","","May 1992","","","","Newsreleases from September 1991 to August 1992","Update on the Learning and Leading Capital Campaign, May 13, 1992","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Public Affairs Office/University Relations","","","","","None","","","1991-1992","","","","None","","","","","None","","","",""
"2185","None","","","1992-73","","","FC 34","","","","","June 1992","","","Memo re: operating budget for fiscal year 1992-1993","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lois Dyer-Mann","","","","","None","","","April 1992","","","","None","","","","","None","","","",""
